ROWNUM,object_id,+PRIVILEGES,project_id,Data.AxisNumber,Data.CompressionAlgorithm,Data.DataLength,Data.DataSize,Data.ImgNumber,Data.InstrumentMode,Data.ObservationMode,Data.OnBoardSoftwareVersion,Data.PlanningId,Data.SimInputConfId,Data.VisNominalChain,Data.VisSequence,Data.VisSequenceEndTime,Data.ObservationDateTime.MJD,Data.ObservationDateTime.OBT,Data.ObservationDateTime.UTC,Data.FrameFitsFile.Format,Data.FrameFitsFile.Version,Data.ExposureTime.Unit,Data.ExposureTime.Value,Data.FrameFitsFile.DataContainer.ChecksumMethod,Data.FrameFitsFile.DataContainer.ChecksumValue,Data.FrameFitsFile.DataContainer.FileName,Data.FrameFitsFile.DataContainer.Filestatus,OBJECT_ID$
420,021D88F38CDEEB35E0632F061AAC9428,3,30,2,"CCSDS121_REORDERING",4439008,16,144,"Science","CALIBRATION","3.1.2",2147510656,,"false","Dark",1970-02-03 04:04:35.736000,60159.50347318154,1970-02-03 03:57:54.083000,2023-08-03 12:05:00.082885,"le1.visRawImage","0.2","s",325.0,,,"EUC_LE1_VIS-65536-1-C_20230803T115410.000000Z_02_01_01.01.fits.gz","PROPOSED","DpdVisRawFrame"
421,021D907D41EDF518E0632F061AACB2AE,3,30,2,"CCSDS121_REORDERING",4439008,16,144,"Science","WIDE","3.1.2",2147510912,,"false","Nominal/Short",1970-02-03 04:42:15.719000,60159.53226952785,1970-02-03 04:39:22.083000,2023-08-03 12:46:28.087206,"le1.visRawImage","0.2","s",89.52,,,"EUC_LE1_VIS-65536-1-C_20230803T123128.000000Z_02_01_01.01.fits.gz","PROPOSED","DpdVisRawFrame"
422,021D998B7076011CE0632F061AAC6D7D,3,30,2,"CCSDS121_REORDERING",4439008,16,144,"Science","WIDE","3.1.2",2147510528,,"false","Nominal/Short",1970-02-03 03:40:06.727000,60159.48365833232,1970-02-03 03:29:22.083000,2023-08-03 11:36:28.079912,"le1.visRawImage","0.2","s",560.52,,,"EUC_LE1_VIS-65536-1-C_20230803T113628.000000Z_01_01_01.01.fits.gz","PROPOSED","DpdVisRawFrame"
423,021DA2BCE3610D23E0632F061AACFC93,3,30,2,"CCSDS121_REORDERING",4439008,16,144,"Science","WIDE","3.1.2",2147512960,,"false","Nominal/Short",1970-02-03 09:27:44.720000,60159.72507078861,1970-02-03 09:17:00.084000,2023-08-03 17:24:06.116136,"le1.visRawImage","0.2","s",560.52,,,"EUC_LE1_VIS-65536-1-C_20230803T172344.000000Z_01_01_01.01.fits.gz","PROPOSED","DpdVisRawFrame"
424,021DAC7520C419B1E0632F061AACDEE1,3,30,2,"CCSDS121_REORDERING",4439008,16,144,"Science","WIDE","3.1.2",2147510400,,"false","Nominal/Short",1970-02-03 03:22:24.721000,60159.471366644306,1970-02-03 03:11:40.083000,2023-08-03 11:18:46.078068,"le1.visRawImage","0.2","s",560.52,,,"EUC_LE1_VIS-65536-1-C_20230803T111824.000000Z_01_01_01.01.fits.gz","PROPOSED","DpdVisRawFrame"
425,021DB622EB952CBCE0632F061AAC08E2,3,30,2,"CCSDS121_REORDERING",4439008,16,144,"Science","WIDE","3.1.2",2147510784,,"false","Nominal/Short",1970-02-03 04:15:30.929000,60159.508241708354,1970-02-03 04:04:46.084000,2023-08-03 12:11:52.083602,"le1.visRawImage","0.2","s",560.52,,,"EUC_LE1_VIS-65536-1-C_20230803T121152.000000Z_01_01_01.01.fits.gz","PROPOSED","DpdVisRawFrame"
426,021DBDC27068371CE0632F061AACF5E9,3,30,2,"CCSDS121_REORDERING",4439008,16,144,"Science","CALIBRATION","3.1.2",2147511680,,"false","Bias",1970-02-03 06:30:12.714000,60159.60835762294,1970-02-03 06:28:56.083000,2023-08-03 14:36:02.098623,"le1.visRawImage","0.2","s",0.0,,,"EUC_LE1_VIS-65536-1-C_20230803T142018.000000Z_02_01_01.01.fits.gz","PROPOSED","DpdVisRawFrame"
427,021DC831DE28456EE0632F061AACFB28,3,30,2,"CCSDS121_REORDERING",4439008,16,144,"Science","WIDE","3.1.2",2147511680,,"false","Nominal/Short",1970-02-03 06:23:56.820000,60159.597431678056,1970-02-03 06:13:12.084000,2023-08-03 14:20:18.096984,"le1.visRawImage","0.2","s",560.52,,,"EUC_LE1_VIS-65536-1-C_20230803T142018.000000Z_01_01_01.01.fits.gz","PROPOSED","DpdVisRawFrame"
428,021DD1B409B6531AE0632F061AACEA3B,3,30,2,"CCSDS121_REORDERING",4439008,16,144,"Science","WIDE","3.1.2",2147513216,,"false","Nominal/Short",1970-02-03 10:03:08.835000,60159.74965416463,1970-02-03 09:52:24.084000,2023-08-03 17:59:30.119824,"le1.visRawImage","0.2","s",560.52,,,"EUC_LE1_VIS-65536-1-C_20230803T175930.000000Z_01_01_01.01.fits.gz","PROPOSED","DpdVisRawFrame"
429,021DD9F48AE16029E0632F061AAC6E54,3,30,2,"CCSDS121_REORDERING",4439008,16,144,"Science","WIDE","3.1.2",2147513088,,"false","Nominal/Short",1970-02-03 09:52:13.721000,60159.747524531296,1970-02-03 09:49:20.083000,2023-08-03 17:56:26.119504,"le1.visRawImage","0.2","s",89.52,,,"EUC_LE1_VIS-65536-1-C_20230803T174148.000000Z_02_01_01.01.fits.gz","PROPOSED","DpdVisRawFrame"
