file	start	end	score	x_median_std_pec1	y_median_std_pec1	x_median_drift_pec1	y_median_drift_pec1	x_median_std_pec2	y_median_std_pec2	x_median_drift_pec2	y_median_drift_pec2	x_std	y_std	z_std
C_20230824T175742.000000Z_01	2023-08-24 17:57:43.334854	2023-08-24 18:07:03.854854	2087.35	0.9650893661675592	1.67284300481511	0.004557774588891669	0.009459105740418165	1.0088651292440316	1.6795184770921185	0.005115837734814183	0.009494717902602486	94.23529835366196	200.21999670131984	249.25157760464518
C_20230824T181718.000000Z_01	2023-08-24 18:17:41.336981	2023-08-24 18:27:01.856981	335.87	0.2289818419738128	0.9123338418520077	-5.299962117285071e-05	-0.001438978388658769	0.2528109331771198	0.9129916257814824	0.00040133255024437086	-0.0014113841306016813	133.5520816043011	47.78028522464695	313.34725671866113
C_20230824T181718.000000Z_02	2023-08-24 18:32:19.338538	2023-08-24 18:33:48.858538	2.58	0.07883421006056128	0.06409116821781455	0.002448081486254684	-0.00016179765384045772	0.061194852670996995	0.06394027662092774	0.0015346733321844456	0.0005332757064803799	6.799163128946541	6.687597794764792	83.57778107444217
C_20230824T183522.000000Z_01	2023-08-24 18:35:23.338866	2023-08-24 18:44:43.858866	2593.87	3.41548616027872	2.849600295667278	-0.026137535356337543	-0.02310973439956828	2.289174717050125	2.8325322913934445	-0.01734730284222243	-0.022998073840415342	240.24260893729627	259.20098077448915	9650.126248588605
C_20230824T183522.000000Z_02	2023-08-24 18:50:01.340423	2023-08-24 18:51:30.860423	1974.11	nan	nan	nan	nan	nan	nan	nan	nan	4971.23369856802	1351.463783030518	670.9595076008728
C_20230824T185304.000000Z_01	2023-08-24 18:53:05.340750	2023-08-24 19:02:25.860750	231.32	0.7562141262532328	0.8788117258842666	0.0005521066128317642	0.0014007913447936276	0.7766771674639084	0.8903707893819619	0.0005100459082241825	0.001453143841948565	127.55458327299827	145.02663171276538	752.4749312102215
C_20230824T191046.000000Z_01	2023-08-24 19:10:47.342634	2023-08-24 19:20:07.862634	14.99	124.78208209180087	7.80341533033506	nan	nan	99.8931376082656	6.78429873781283	nan	nan	14727.303702556792	79225.18364863576	632429.4283304968
C_20230824T193022.000000Z_01	2023-08-24 19:30:45.344760	2023-08-24 19:40:05.864760	717.77	nan	nan	nan	nan	nan	nan	nan	nan	1932.3798170928387	630.1421783438344	465.08136844511273
C_20230824T193022.000000Z_02	2023-08-24 19:45:23.346317	2023-08-24 19:46:52.866317	9817.23	nan	nan	nan	nan	nan	nan	nan	nan	5275.532322993146	1131.693349675398	188.0761727508894
C_20230824T194826.000000Z_01	2023-08-24 19:48:27.346645	2023-08-24 19:57:47.866645	2438.6	1.1107613997109216	2.814107194658062	0.00020710926059220198	0.008518414809390895	1.075362387298249	2.8059484143552202	-0.00019362104985445373	0.008551843064874075	429.8304953391227	213.35618426610378	189.10674444788512
C_20230824T194826.000000Z_02	2023-08-24 20:03:05.348202	2023-08-24 20:04:34.868202	13.93	0.13096695584764462	0.241988447271265	0.004698045306177423	0.008591087012915284	0.23342682615538027	0.26132232270610656	0.009518363657017831	0.009278379233668898	18.56161582859389	16.808485800140996	554.9752036115693
C_20230824T200608.000000Z_01	2023-08-24 20:06:09.348529	2023-08-24 20:15:29.868529	1.56	0.0811735962445458	0.21263221991375397	-0.00017980068770308207	-0.00011624029913039237	0.07314216009573668	0.23145490027823876	-6.484926133149881e-06	-0.00014898509226458223	12.487766455195068	5.73741244929788	237.14062995654294
